,tag,quadrat,sp.x,biannual,intraannual,cored,treeID,stemID,StemTag,gx,gy,status,NAD83_X,NAD83_Y,lat,lon
265,122180,1222, pist,NA,NA,1,16706,16706,1,222.8000031,428.2999878,A,747598.3248,4308939.792,38.89446034,-78.14511379
266,122184,1222,pist,1,NA,1,16710,16710,1,222.8999939,433.8999939,A,747598.2948,4308945.392,38.89451076,-78.14511211
267,122185,1222,pist ,1,NA,NA,16711,16711,1,225.6000061,434.8999939,A,747600.9709,4308946.455,38.89451957,-78.14508091
268,122187,1222, pist,NA,NA,1,16713,16713,1,229.5,434.8999939,A,747604.8699,4308946.545,38.89451928,-78.14503597
269,122189,1222,qual ,1,1,NA,16715,16715,1,225.5,439.5,A,747600.7642,4308951.051,38.894561,-78.14508163
273,122248,1222,qual ,1,NA,NA,16767,16767,1,230.5,433.1000061,A,747605.9113,4308944.769,38.894503,-78.14502462
274,122256,1222, pist,NA,NA,1,16774,16774,1,234.1999969,438.7999878,A,747609.4781,4308950.553,38.89455406,-78.14498146
275,122275,1223, pist,NA,NA,1,16791,16791,1,234.6000061,449.6000061,A,747609.6275,4308961.36,38.89465128,-78.14497584
276,122278,1223, pist,NA,NA,1,16794,16794,1,235.3999939,455.3999939,A,747610.2927,4308967.177,38.89470344,-78.14496608
278,122302,1223, pist,NA,NA,1,16813,16813,1,227.1999969,448.2999878,A,747602.2596,4308959.888,38.89464011,-78.14506122
279,122303,1223,qual ,1,1,NA,16814,16814,1,221.8999939,448.5,A,747596.9564,4308959.965,38.8946423,-78.14512227
277,122295,1224, juni,NA,NA,1,16808,16808,1,229.6000061,479.7999878,A,747603.9282,4308991.435,38.89492357,-78.14503063
281,122343,1225,qual ,1,1,NA,16851,16851,1,230.6999969,494.3999939,A,747604.6892,4309006.057,38.89505496,-78.14501659
282,122347,1225,ulru ,1,NA,NA,16852,16852,1,221.3000031,498.7999878,A,747595.1896,4309010.238,38.89509526,-78.14512449
286,122450,1225,ulru ,1,NA,NA,31862,44444,1,223,499.1,A,747596.9,4309011,38.8951,-78.1451
283,122404,1226, qual,NA,NA,1,16855,16855,1,235.3999939,500.2999878,A,747609.251,4309012.064,38.89510774,-78.14496189
287,122452,1226,fram ,1,NA,NA,16901,16901,1,225.6999969,502.3999939,A,747599.5049,4309013.939,38.89512736,-78.14507346
288,122455,1226,qual ,1,NA,NA,16904,16904,1,232,504.2000122,A,747605.7615,4309015.885,38.89514311,-78.1450007
289,122458,1226,cagl ,1,NA,NA,16907,16907,1,224.6000061,504.8999939,A,747598.3472,4309016.413,38.89514995,-78.1450859
284,122427,1227,qual ,1,1,NA,16878,16878,1,237,535.5999756,A,747610.0317,4309047.392,38.89542548,-78.14494016
290,122474,1227, qual,NA,NA,1,16923,16923,1,222.3000031,532,A,747595.4191,4309043.452,38.89539414,-78.14510987
285,122439,1228,cagl ,1,NA,NA,16889,16889,1,232.6000061,553,A,747605.2292,4309064.685,38.89558248,-78.14498923
291,122482,1228,litu ,1,1,NA,16931,16931,1,234.5,542.4000244,A,747607.3746,4309054.132,38.89548689,-78.14496833
292,122486,1228,litu ,1,NA,NA,16935,16935,1,222.6999969,557,A,747595.2391,4309068.455,38.89561922,-78.14510293
293,122489,1229,cagl ,1,NA,NA,16938,34433,2,222.8000031,564.2999878,A,747595.1697,4309075.755,38.89568494,-78.14510109
294,122489,1229,cagl ,1,NA,NA,16938,16938,1,222.8000031,564.2999878,A,747595.1697,4309075.755,38.89568494,-78.14510109
295,122490,1229,quru ,1,NA,NA,16939,16939,1,228.8999939,564.2000122,A,747601.2703,4309075.796,38.8956836,-78.14503082
296,122492,1229,litu ,1,NA,NA,16941,16941,1,222.5,571.5,A,747594.7027,4309082.946,38.8957498,-78.14510388
299,122554,1230, litu,NA,NA,1,16976,16976,1,228.6000061,593,A,747600.3023,4309104.582,38.89594295,-78.14503158
300,122561,1231,litu ,1,NA,NA,16983,16983,1,220,610.5,A,747591.2986,4309121.878,38.89610115,-78.14512904
297,122521,1232, quve,NA,NA,1,16968,16968,1,230.8999939,638.7999878,A,747601.5391,4309150.423,38.89635518,-78.14500081
298,122522,1232,litu ,1,NA,NA,16969,16969,1,223.3999939,637.4000244,A,747594.0736,4309148.849,38.89634312,-78.14508736
301,122563,1232,litu ,1,NA,NA,16985,16985,1,221.6000061,623.7000122,A,747592.592,4309135.111,38.89621989,-78.14510938
302,122563,1232,litu ,1,NA,NA,16985,34435,2,221.6000061,623.7000122,A,747592.592,4309135.111,38.89621989,-78.14510938
316,130348,1302,litu ,1,NA,NA,17329,17329,1,259.8999939,21.89999962,A,747644.843,4308534.362,38.89079824,-78.14472426
317,130579,1304, litu,NA,NA,1,17541,17541,1,251,69.19999695,A,747634.8481,4308581.442,38.8912248,-78.14482239
324,130838,1305,litu ,1,1,NA,17779,17779,1,252.1999969,81,A,747635.774,4308593.267,38.89133096,-78.14480746
325,130911,1305, quve,NA,NA,1,17844,17844,1,256.1000061,95.19999695,D,747639.3435,4308607.554,38.89145854,-78.1447612
318,130718,1306,litu ,1,NA,NA,17666,37784,3,247.3000031,111.3000031,A,747630.1724,4308623.445,38.89160415,-78.14486109
319,130718,1306,litu ,1,NA,NA,17666,42196,5,247.3000031,111.3000031,A,747630.1724,4308623.445,38.89160415,-78.14486109
320,130718,1306,litu ,1,NA,NA,17666,42195,4,247.3000031,111.3000031,A,747630.1724,4308623.445,38.89160415,-78.14486109
321,130718,1306,litu ,1,NA,NA,17666,17666,1,247.3000031,111.3000031,A,747630.1724,4308623.445,38.89160415,-78.14486109
322,130718,1306,litu ,1,NA,NA,17666,34566,2,247.3000031,111.3000031,A,747630.1724,4308623.445,38.89160415,-78.14486109
326,130991,1307, quve,NA,NA,1,17919,17919,1,255.1000061,120.5999985,A,747637.7545,4308632.924,38.89168732,-78.14477035
327,130992,1307, cato,NA,NA,1,17920,17920,1,252.6999969,124,A,747635.2763,4308636.267,38.89171811,-78.14479769
328,131009,1308,quve,1,NA,1,17936,17936,1,253.8999939,140.6999969,A,747636.0885,4308652.99,38.8918684,-78.1447823
329,131017,1308, litu,NA,NA,1,17944,17944,1,256.8999939,147.1000061,A,747638.9392,4308659.458,38.89192581,-78.14474714
330,131032,1308, cagl,NA,NA,1,17958,17958,1,254.5,157.6999969,A,747636.294,4308670,38.89202143,-78.1447738
323,130788,1309, caovl,NA,NA,1,17734,17734,1,247.6999969,167.6999969,A,747629.2638,4308679.839,38.89211197,-78.14485122
331,131047,1309, litu,NA,NA,1,17973,17973,1,252.5,163.3999939,A,747634.1623,4308675.652,38.8920729,-78.14479631
332,131061,1309, caovl,NA,NA,1,17987,17987,1,257,172,A,747638.4616,4308684.354,38.89215001,-78.14474366
333,131080,1310, litu,NA,NA,1,18006,18006,1,250.1999969,188.1999969,A,747631.2876,4308700.392,38.89229638,-78.1448205
334,131086,1310,quru ,1,NA,NA,18012,18012,1,258.1000061,195.5,A,747639.0161,4308707.873,38.89236154,-78.14472879
335,131087,1310,quru,1,1,1,18013,18013,1,257.2999878,197.8000031,A,747638.1629,4308710.154,38.89238231,-78.1447378
339,131113,1310, cagl,NA,NA,1,18039,18039,1,246.6000061,180.8999939,A,747627.8579,4308693.01,38.89223091,-78.14486266
336,131091,1311, caovl,NA,NA,1,18017,18017,1,252.1999969,202.3000031,A,747632.9599,4308714.534,38.8924232,-78.14479614
337,131092,1311,litu ,1,NA,NA,18018,18018,1,253.1000061,202.6999969,A,747633.8504,4308714.955,38.89242673,-78.14478573
338,131096,1311,litu ,1,NA,NA,18022,18022,1,259,204.6999969,A,747639.7024,4308717.092,38.89244431,-78.14471756
340,131138,1311, caovl,NA,NA,1,18064,18064,1,243.3999939,202,A,747624.1692,4308714.03,38.89242114,-78.14489756
341,131179,1313, cato,NA,NA,1,18104,18104,1,242.1999969,245.6999969,A,747621.9557,4308757.691,38.89281472,-78.1449073
342,131183,1313, cato,NA,NA,1,18108,18108,1,240.5,252.1000061,A,747620.1077,4308764.05,38.89287247,-78.14492629
343,131188,1313,litu ,1,NA,NA,18113,18113,1,250,255.3000031,A,747629.5309,4308767.469,38.89290059,-78.14481654
345,131227,1313,litu ,1,NA,NA,18152,18152,1,257.3999939,253.6999969,A,747636.9661,4308766.041,38.89288565,-78.14473142
346,131232,1313,litu ,1,NA,NA,18157,18157,1,254.3999939,259.2000122,A,747633.8393,4308771.47,38.89293539,-78.14476548
347,131233,1313,litu ,1,NA,NA,18158,18158,1,258.2999878,259.6000061,A,747637.7289,4308771.961,38.89293871,-78.1447205
344,131192,1314, litu,NA,NA,1,18117,18117,1,249.1000061,262.2999878,A,747628.4688,4308774.446,38.89296369,-78.14482625
348,131238,1314,caco ,1,NA,NA,18163,18163,1,253.6000061,267.5,A,747632.8469,4308779.749,38.89301018,-78.14477392
349,131239,1314,quru ,1,1,NA,18164,18164,1,259.5,265.7000122,A,747638.7871,4308778.087,38.89299355,-78.14470611
351,131304,1314, litu,NA,NA,1,18227,18227,1,241.5,278.2000122,A,747620.502,4308790.166,38.89310741,-78.14491234
350,131272,1315,fram ,1,NA,NA,18195,18195,1,258.5,282.2000122,A,747637.4046,4308794.559,38.89314219,-78.14471609
352,131360,1316, juni,NA,NA,1,18282,34700,2,251.8999939,310.7000122,D,747630.1452,4308822.898,38.8933993,-78.14478947
353,131360,1316, juni,NA,NA,1,18282,18282,1,251.8999939,310.7000122,A,747630.1452,4308822.898,38.8933993,-78.14478947
354,131364,1316,acru ,1,NA,NA,18286,18286,1,252,312.8999939,A,747630.1941,4308825.1,38.8934191,-78.14478811
355,132010,1317, caco,NA,NA,1,18352,18352,1,248.6999969,339.5,A,747626.2779,4308851.616,38.89365886,-78.14482365
356,132018,1317, caco,NA,NA,1,18360,18360,1,257.1000061,334.1000061,A,747634.8009,4308846.413,38.89360962,-78.14472737
357,132028,1317,fram ,1,NA,NA,18369,18369,1,257,326.7000122,A,747634.8726,4308839.012,38.893543,-78.14472922
358,132077,1319,qual ,1,1,NA,18414,18414,1,249.8999939,375.8999939,A,747626.6331,4308888.034,38.89398653,-78.14480643
359,132171,1320,litu ,1,NA,NA,18501,18501,1,253.6999969,386.7000122,A,747630.1815,4308898.92,38.8940835,-78.14476164
360,132177,1320, qual,NA,NA,1,18506,18506,1,253.8000031,389.6000061,A,747630.2143,4308901.821,38.89410961,-78.14476021
362,132206,1320, qual,NA,NA,1,18532,18532,1,243.1000061,396.2999878,A,747619.3617,4308908.271,38.89417072,-78.14488288
361,132194,1321, pist,NA,NA,1,18521,18521,1,251,411.1000061,A,747626.9162,4308923.25,38.89430341,-78.14479047
368,132302,1321,quru ,1,NA,NA,18624,18624,1,253,414.4,A,747628.8,4308927,38.89433,-78.14477
363,132232,1322, quve,NA,NA,1,18558,18558,1,246.3000031,424.6000061,A,747621.9043,4308936.638,38.89442531,-78.14484336
364,132233,1322, pist,NA,NA,1,18559,18559,1,249.8999939,427.6000061,A,747625.4337,4308939.72,38.89445206,-78.1448016
365,132236,1322, pist,NA,NA,1,18562,18562,1,241.6000061,430.5,A,747617.0687,4308942.427,38.89447878,-78.14489697
366,132241,1322, pist,NA,NA,1,18567,18567,1,254.3999939,422.3999939,A,747630.0531,4308934.626,38.89440491,-78.14475024
369,132311,1322,qual ,1,NA,NA,18633,18633,1,252.9,434.2,A,747628.3,4308946,38.89451,-78.14477
367,132250,1323, quve,NA,NA,1,18576,18576,1,240.5,444.5,A,747615.6,4308956,38.8946,-78.14491
370,132321,1323,quru ,1,NA,NA,18643,18643,1,257.6,441,A,747632.8,4308953,38.89457,-78.14471
371,132371,1325,quru ,1,NA,NA,18692,18692,1,259.9,492.9,A,747633.9,4309005,38.89504,-78.14468
372,132386,1326, quve,NA,NA,1,18705,18705,1,259.2,510.7,D,747632.8,4309023,38.8952,-78.14469
373,132396,1327, quve,NA,NA,1,18714,18714,1,250.7,522.4,A,747624,4309035,38.89531,-78.14478
374,132508,1328,quve ,1,NA,NA,18801,18801,1,258.6,553.9,A,747631.2,4309066,38.89559,-78.14469
375,132512,1328,juni ,1,NA,NA,18805,18805,1,251.2,558.4,A,747623.7,4309071,38.89563,-78.14477
376,132524,1329,litu ,1,NA,NA,18817,18817,1,258.4,560.4,A,747630.9,4309073,38.89565,-78.14469
377,132525,1329,fram ,1,NA,1,18818,18818,1,260,561.2,A,747632.4,4309074,38.89565,-78.14467
378,132529,1329,litu ,1,NA,NA,18822,18822,1,256.6,573.2,A,747628.8,4309085,38.89576,-78.14471
379,132532,1330, fagr,NA,NA,1,18825,18825,1,259.6,589.2,A,747631.4,4309102,38.89591,-78.14467
380,132539,1331,litu ,1,1,NA,18832,18832,1,255,615.9,A,747626.2,4309128,38.89615,-78.14473
381,132542,1332,quve,1,NA,1,18835,18835,1,255.4,622.9,A,747626.4,4309135,38.89621,-78.14472
382,132545,1332,litu ,1,NA,NA,18838,18838,1,249.5,631.2,A,747620.3,4309143,38.89629,-78.14479
383,140270,1401,ulru ,1,NA,NA,19102,19102,1,260.3,18.3,D,747645.3,4308531,38.89077,-78.14472
384,140280,1402, libe,NA,NA,1,19111,34764,2,261.6,24.3,A,747646.5,4308537,38.89082,-78.1447
385,140280,1402, libe,NA,NA,1,19111,19111,1,261.6,24.3,D,747646.5,4308537,38.89082,-78.1447
387,140609,1403,litu ,1,NA,NA,19411,19411,1,264.3,43.6,A,747648.7,4308556,38.89099,-78.14467
386,140467,1404,quve ,1,NA,NA,19280,19280,1,262.1,78.5,A,747645.7,4308591,38.89131,-78.14469
388,140646,1405,litu ,1,NA,NA,19443,19443,1,261,88.3,A,747644.4,4308601,38.8914,-78.14471
389,140733,1407, quve,NA,NA,1,19527,19527,1,264.2,127,A,747646.7,4308640,38.89174,-78.14466
390,140735,1407, litu,NA,NA,1,19529,19529,1,268.8,126.5,A,747651.3,4308639,38.89174,-78.14461
391,140736,1407,quve,1,NA,1,19530,19530,1,262.4,133.6,A,747644.8,4308646,38.8918,-78.14469
392,140751,1408,quru ,1,1,NA,19542,19542,1,269.9,141.5,A,747652.1,4308654,38.89187,-78.1446
393,140756,1408,quve,1,NA,1,19547,19547,1,261.3,146.2,A,747643.4,4308659,38.89192,-78.1447
394,140761,1408, quve,NA,NA,1,19552,19552,1,271.7,151.1,A,747653.6,4308664,38.89196,-78.14458
395,140764,1408, qupr,NA,NA,1,19555,19555,1,268.1,153.4,A,747650,4308666,38.89198,-78.14462
407,140931,1408, quve,NA,NA,1,19712,19712,1,275.3,146.3,A,747657.4,4308659,38.89192,-78.14454
408,140934,1408, quve,NA,NA,1,19714,19714,1,277.1,150.1,A,747659.1,4308663,38.89195,-78.14451
409,140939,1408, fram,NA,NA,1,19719,19719,1,278.2,158.1,A,747660,4308671,38.89202,-78.1445
410,140939,1408, fram,NA,NA,1,19718,19718,2,278.2,158,A,747660,4308671,38.89202,-78.1445
396,140810,1410, caovl,NA,NA,1,19598,19598,1,265.2,188.4,A,747646.3,4308701,38.8923,-78.14465
397,140813,1410,litu ,1,NA,NA,19601,19601,1,268.3,191.2,A,747649.3,4308704,38.89232,-78.14461
398,140818,1410,litu ,1,NA,NA,19606,19606,1,262.3,199.2,A,747643.1,4308712,38.89239,-78.14468
399,140819,1411,litu ,1,NA,NA,19607,19607,1,261.6,201.5,A,747642.4,4308714,38.89242,-78.14469
400,140820,1411,litu ,1,NA,NA,19608,19608,1,262.5,201.5,A,747643.3,4308714,38.89242,-78.14468
401,140821,1411,litu ,1,NA,NA,19609,19609,1,264.6,200.4,A,747645.4,4308713,38.89241,-78.14465
402,140825,1411,litu ,1,1,NA,19613,19613,1,268,205.9,A,747648.7,4308719,38.89245,-78.14461
403,140829,1411,litu ,1,NA,NA,19617,19617,1,260.6,204.9,A,747641.3,4308717,38.89245,-78.1447
404,140833,1411,litu ,1,NA,NA,19621,19621,1,265.6,209.5,A,747646.2,4308722,38.89249,-78.14464
411,141031,1411, qupr,NA,NA,1,19804,19804,1,278.9,219.3,A,747659.3,4308732,38.89257,-78.14449
405,140872,1413,litu ,1,NA,NA,19659,19659,1,266.1,254.9,A,747645.6,4308767,38.8929,-78.14463
406,140881,1414, fram,NA,NA,1,19667,19667,1,267.2,273.3,A,747646.3,4308786,38.89306,-78.14462
412,141124,1416, fram,NA,NA,1,19893,19893,1,278.3,300.4,A,747656.8,4308813,38.8933,-78.14449
413,141146,1416,caco ,1,NA,NA,19910,19910,1,262.5,318.5,A,747640.6,4308831,38.89347,-78.14467
414,141255,1416, fram,NA,NA,1,19967,19967,1,268.9,309.2,A,747647.2,4308822,38.89338,-78.14459
415,142015,1417, quve,NA,NA,1,19986,19986,1,268.5,334.4,A,747646.2,4308847,38.89361,-78.1446
417,142113,1417,cagl ,1,NA,NA,20076,20076,1,263,325,A,747640.9,4308837,38.89353,-78.14466
416,142046,1418, pist,NA,NA,1,20015,20015,1,273.5,345.2,A,747650.9,4308858,38.89371,-78.14454
418,142178,1419, fram,NA,NA,1,20135,20135,1,267.3,364.6,A,747644.3,4308877,38.89388,-78.14461
419,142206,1419,fram ,1,NA,NA,20160,20160,1,278.5,376.5,A,747655.2,4308889,38.89399,-78.14448
420,142210,1419, caco,NA,NA,1,20164,20164,1,269.5,378,A,747646.2,4308891,38.894,-78.14458
421,142220,1420, caco,NA,NA,1,20174,20174,1,277,381.7,A,747653.6,4308894,38.89404,-78.14449
424,142484,1421, pist,NA,NA,1,20423,20423,1,269.2,405.2,A,747645.2,4308918,38.89425,-78.14458
425,142490,1421, quru,NA,NA,1,20428,20428,1,266,407.2,A,747642,4308920,38.89427,-78.14462
426,142521,1422,pist,1,NA,1,20457,20457,1,266.4,431.1,A,747641.8,4308944,38.89448,-78.14461
427,142527,1422,cagl ,1,NA,NA,20461,20461,1,261.9,438.4,A,747637.2,4308951,38.89455,-78.14466
428,142538,1423, cato,NA,NA,1,20472,20472,1,260.4,449.8,A,747635.4,4308962,38.89465,-78.14468
429,142539,1423, qual,NA,NA,1,20473,20473,1,261.3,454.4,A,747636.2,4308967,38.89469,-78.14467
422,142363,1424, qual,NA,NA,1,20312,20312,1,265.2,478.7,A,747639.5,4308991,38.89491,-78.14462
423,142380,1425,qual ,1,1,NA,20329,20329,1,266.8,493.1,A,747640.8,4309006,38.89504,-78.1446
430,142565,1425, qual,NA,NA,1,20498,20498,1,260.1,491.4,A,747634.2,4309004,38.89503,-78.14468
431,142568,1425,quve,1,NA,1,20501,20501,1,260.9,498.8,A,747634.8,4309011,38.89509,-78.14467
432,142575,1426,quve,1,NA,1,20508,20508,1,261.8,506.4,A,747635.5,4309019,38.89516,-78.14466
445,143707,1426,cagl ,1,NA,NA,33781,46862,1,260.9,501.6,A,747634.7,4309014,38.89512,-78.14467
433,142583,1427, qupr,NA,NA,1,20516,20516,1,263.3,524.6,A,747636.6,4309037,38.89532,-78.14464
434,142602,1427, qupr,NA,NA,1,20533,20533,1,273.3,526.1,A,747646.5,4309039,38.89534,-78.14452
436,142703,1428, fram,NA,NA,1,20594,20594,1,269.6,558,A,747642.1,4309071,38.89562,-78.14456
437,142708,1429,juni ,1,NA,NA,20599,20599,1,264.3,566.2,A,747636.6,4309079,38.8957,-78.14462
435,142656,1431,litu ,1,NA,NA,20580,20580,1,272.4,612.8,A,747643.6,4309125,38.89612,-78.14453
438,142727,1431,litu ,1,NA,NA,20618,20618,1,261.7,608.2,A,747633,4309121,38.89608,-78.14465
439,142729,1431,litu ,1,1,NA,20620,20620,1,264.7,614.7,A,747635.9,4309127,38.89614,-78.14461
440,142730,1431,litu ,1,NA,NA,20621,20621,1,269.9,614.7,A,747641.1,4309127,38.89614,-78.14455
441,142731,1432,litu ,1,NA,NA,20622,20622,1,268.2,622.3,A,747639.2,4309135,38.8962,-78.14457
442,142732,1432,cagl ,1,NA,NA,20623,20623,1,261.6,621.2,A,747632.6,4309134,38.89619,-78.14465
443,142733,1432,litu ,1,NA,NA,20624,20624,1,260.5,625.4,A,747631.4,4309138,38.89623,-78.14466
444,142735,1432,qual ,1,NA,NA,20626,20626,1,265.4,629.6,A,747636.2,4309142,38.89627,-78.1446
446,150048,1501, juni,NA,NA,1,20672,20672,1,289.8,5.7,A,747675.1,4308519,38.89065,-78.14438
447,150756,1503,quve ,1,NA,NA,21310,21310,1,293.6,56.3,A,747677.7,4308570,38.89111,-78.14433
448,150761,1503, juni,NA,NA,1,21312,21312,1,299.6,59.3,A,747683.7,4308573,38.89113,-78.14426
449,150776,1504, fram,NA,NA,1,21322,21322,1,281.9,73.2,A,747665.6,4308586,38.89126,-78.14447
452,150911,1506, fagr,NA,NA,1,21451,21451,1,289.1,119,A,747671.8,4308632,38.89167,-78.14438
450,150830,1508,litu ,1,NA,NA,21374,21374,1,294.6,156.6,A,747676.4,4308670,38.89201,-78.14431
453,150941,1508, fagr,NA,NA,1,21479,21479,1,284.5,148.6,A,747666.5,4308662,38.89194,-78.14443
454,150951,1508, quve,NA,NA,1,21487,21487,1,287.4,158,A,747669.2,4308671,38.89202,-78.14439
455,150957,1509, quve,NA,NA,1,21492,21492,1,281.9,162.4,D,747663.6,4308675,38.89206,-78.14446
451,150890,1510, quru,NA,NA,1,21430,21430,1,290.9,182.3,A,747672.1,4308695,38.89224,-78.14435
456,151006,1510, caco,NA,NA,1,21537,21537,1,285.6,192.5,A,747666.6,4308706,38.89233,-78.14441
457,151021,1510, quru,NA,NA,1,21549,21549,1,283.7,196.7,A,747664.6,4308710,38.89237,-78.14443
459,151120,1511, qupr,NA,NA,1,21643,21643,1,296.5,207.8,A,747677.1,4308721,38.89247,-78.14429
460,151123,1511, fagr,NA,NA,1,21646,21646,1,291.5,212.1,A,747672,4308725,38.89251,-78.14434
458,151051,1512, litu,NA,NA,1,21578,21578,1,280.1,234.8,A,747660.1,4308748,38.89271,-78.14447
461,151140,1512, fagr,NA,NA,1,21663,21663,1,296.7,230.1,A,747676.8,4308743,38.89267,-78.14428
462,152044,1518, qupr,NA,NA,1,21806,21806,1,284.6,344.5,A,747662.1,4308857,38.8937,-78.14441
463,152044,1518, qupr,NA,NA,1,21806,35172,2,284.6,344.5,A,747662.1,4308857,38.8937,-78.14441
464,152053,1518, cagl,NA,NA,1,21814,21814,1,299.4,349.5,A,747676.7,4308863,38.89375,-78.14424
465,152057,1518, cato,NA,NA,1,21818,21818,1,282.5,353.4,A,747659.7,4308866,38.89378,-78.14443
466,152069,1518, qupr,NA,NA,1,21826,21826,1,299.7,355.5,A,747676.9,4308869,38.8938,-78.14423
467,152118,1519, caco,NA,NA,1,21873,21873,1,281.8,368.8,A,747658.7,4308882,38.89392,-78.14444
468,152151,1520, caco,NA,NA,1,21904,21904,1,280.6,380,A,747657.2,4308893,38.89402,-78.14445
469,152153,1520,ploc ,1,NA,NA,21906,21906,1,286.8,380.3,A,747663.4,4308893,38.89402,-78.14438
470,152185,1520, cato,NA,NA,1,21936,21936,1,293.3,388.9,A,747669.7,4308902,38.8941,-78.14431
471,152464,1523, cato,NA,NA,1,22206,22206,1,287.5,459.8,A,747662.3,4308973,38.89474,-78.14437
472,152490,1524, quve,NA,NA,1,22230,22230,1,294.3,477.8,A,747668.7,4308991,38.8949,-78.14429
473,152529,1526, fagr,NA,NA,1,22264,22264,1,296.5,502.5,A,747670.3,4309016,38.89512,-78.14426
474,152623,1528, juni,NA,NA,1,22344,22344,1,292.4,556.7,A,747664.9,4309070,38.89561,-78.1443
475,152645,1529, quve,NA,NA,1,22363,22363,1,284.2,571.6,A,747656.4,4309084,38.89575,-78.14439
476,152651,1529, quve,NA,NA,1,22369,22369,1,289.4,575.4,A,747661.5,4309088,38.89578,-78.14433
477,152656,1529, quve,NA,NA,1,22373,22373,1,299,577.2,A,747671,4309090,38.8958,-78.14422
478,152659,1530, fram,NA,NA,1,22376,22376,1,287,584.4,A,747658.9,4309097,38.89586,-78.14436
479,152661,1530, fagr,NA,NA,1,22378,22378,1,289.4,581.3,A,747661.4,4309094,38.89583,-78.14433
480,152673,1530,litu ,1,NA,NA,22390,22390,1,283.6,598.8,A,747655.2,4309112,38.89599,-78.1444
481,152701,1531,litu ,1,NA,NA,22417,22417,1,291.3,615.7,A,747662.5,4309129,38.89614,-78.14431
482,160001,1601, fram,NA,NA,1,22441,22441,1,300.8,2.1,A,747686.2,4308516,38.89062,-78.14425
486,160713,1603,litu ,1,NA,NA,23030,23030,1,310.4,53.7,A,747694.6,4308567,38.89108,-78.14414
483,160665,1604, litu,NA,NA,1,752,752,1,300.8,76.2,A,747684.5,4308590,38.89128,-78.14425
484,160665,1604, litu,NA,NA,1,752,36824,3,300.8,76.2,A,747684.5,4308590,38.89128,-78.14425
485,160665,1604, litu,NA,NA,1,752,31935,2,300.8,76.2,A,747684.5,4308590,38.89128,-78.14425
487,160742,1605,litu ,1,NA,NA,23054,23054,1,319.3,86.6,A,747702.7,4308600,38.89138,-78.14403
488,160760,1606, fagr,NA,NA,1,23072,23072,1,319.6,112.7,A,747702.4,4308627,38.89161,-78.14403
491,160910,1607,litu ,1,1,NA,23183,23183,1,308.6,121.1,A,747691.2,4308635,38.89169,-78.14415
489,160777,1608, litu,NA,NA,1,23089,23089,1,312.4,149.3,A,747694.4,4308663,38.89194,-78.14411
492,160921,1608, quve,NA,NA,1,23194,23194,1,301,140.5,A,747683.2,4308654,38.89186,-78.14424
493,160930,1608, litu,NA,NA,1,23203,23203,1,304.8,148,A,747686.8,4308661,38.89193,-78.1442
494,160935,1609, quve,NA,NA,1,23208,23208,1,306.3,160.9,A,747688,4308674,38.89205,-78.14418
495,160962,1611, litu,NA,NA,1,23231,23231,1,308.9,212.2,A,747689.4,4308726,38.89251,-78.14414
496,160985,1612,litu ,1,1,NA,23254,23254,1,301.2,237.2,A,747681.1,4308751,38.89273,-78.14423
497,160989,1612, caco,NA,NA,1,23257,23257,1,312.5,235,A,747692.5,4308749,38.89271,-78.1441
490,160862,1614,ploc ,1,NA,NA,23171,23171,1,312.4,275.2,A,747691.5,4308789,38.89308,-78.1441
498,161024,1614, fram,NA,NA,1,23289,23289,1,303.6,267.4,A,747682.8,4308781,38.89301,-78.1442
500,161554,1615, juni,NA,NA,1,23333,23333,1,310.6,290.6,A,747689.3,4308804,38.89321,-78.14412
499,161524,1616, quru,NA,NA,1,23317,23317,1,319.8,301.8,A,747698.2,4308816,38.89331,-78.14401
501,161573,1616, qual,NA,NA,1,23351,23351,1,307,307.3,A,747685.3,4308821,38.89336,-78.14415
502,161576,1616, quru,NA,NA,1,23354,23354,1,304.2,310.3,A,747682.4,4308824,38.89339,-78.14419
503,162030,1618, qupr,NA,NA,1,23385,23385,1,301.6,359.8,A,747678.7,4308873,38.89384,-78.14421
507,162355,1621, juni,NA,NA,1,23697,23697,1,318,419.1,A,747693.7,4308933,38.89437,-78.14402
504,162252,1622, caco,NA,NA,1,23599,23599,1,301.1,420.6,A,747676.8,4308934,38.89439,-78.14421
505,162293,1623,qual ,1,NA,NA,23639,23639,1,303,449.4,A,747678,4308963,38.89464,-78.14419
506,162295,1623, qual,NA,NA,1,23641,23641,1,303.4,452.6,A,747678.3,4308966,38.89467,-78.14418
508,162397,1624, qual,NA,NA,1,23738,23738,1,317.9,463.9,D,747692.6,4308978,38.89477,-78.14401
509,162398,1624, qual,NA,NA,1,23739,23739,1,318.6,465.4,A,747693.2,4308979,38.89479,-78.14401
519,162503,1624,quve ,1,NA,NA,23838,23838,1,301.3,472.3,A,747675.8,4308986,38.89485,-78.14421
510,162415,1625, qupr,NA,NA,1,23754,23754,1,319.3,488,A,747693.4,4309002,38.89499,-78.144
511,162415,1625, qupr,NA,NA,1,23754,35497,2,319.3,488,D,747693.4,4309002,38.89499,-78.144
512,162432,1626, pist,NA,NA,1,23771,23771,1,306,511.5,A,747679.6,4309025,38.8952,-78.14415
